"game_id","type","date","home_team","home_conference","home_pts","home_sq_pts","away_team","away_conference","away_pts","away_sq_pts","line","projected_home_score","projected_away_score","value","value_side","play","result","value_type","closing_line","closing_line_value"
19579009116321,"spread","2023-08-10","Seattle Storm",NA,68,89.7895686,"Atlanta Dream",NA,67,88.0628736,5.5,80.7,82.7,3.5,"Seattle Storm",1,1,"Dog",5.5,0
19579009116321,"total","2023-08-10","Seattle Storm",NA,68,89.7895686,"Atlanta Dream",NA,67,88.0628736,165.5,80.7,82.7,2.1,"Under",0,0,"Under",163.5,NA
19579043814391,"spread","2023-08-10","Phoenix Mercury",NA,90,78.90494531,"Connecticut Sun",NA,84,89.93848467,8,79.2,79.2,8,"Phoenix Mercury",1,1,"Dog",7.5,0.5
19579043814391,"total","2023-08-10","Phoenix Mercury",NA,90,78.90494531,"Connecticut Sun",NA,84,89.93848467,160.5,79.2,79.2,2.1,"Under",0,0,"Under",159.5,NA
19579081611331,"spread","2023-08-10","Indiana Fever",NA,91,81.51116222,"Minnesota Lynx",NA,73,75.65238512,3.5,79.6,75.9,7.2,"Indiana Fever",1,1,"Dog",2.5,1
19579081611331,"total","2023-08-10","Indiana Fever",NA,91,81.51116222,"Minnesota Lynx",NA,73,75.65238512,162.5,79.6,75.9,7,"Under",1,-1.1,"Under",163.5,-1
19580034612511,"spread","2023-08-11","New York Liberty",NA,89,82.35591495,"Chicago Sky",NA,73,77.77530533,-12.5,92.3,81.9,2.1,"Chicago Sky",0,0,"Dog",-12.5,NA
19580034612511,"total","2023-08-11","New York Liberty",NA,89,82.35591495,"Chicago Sky",NA,73,77.77530533,167.5,92.3,81.9,6.7,"Over",1,-1.1,"Over",170,2.5
19580092420251,"spread","2023-08-11","Las Vegas Aces",NA,113,97.15709049,"Washington Mystics",NA,89,83.18627232,-17.5,93.5,77.7,1.7,"Washington Mystics",0,0,"Dog",-17.5,NA
19580092420251,"total","2023-08-11","Las Vegas Aces",NA,113,97.15709049,"Washington Mystics",NA,89,83.18627232,168.5,93.5,77.7,2.7,"Over",0,0,"Over",169.5,NA
19581009109851,"spread","2023-08-12","Los Angeles Sparks",NA,85,84.59138435,"Atlanta Dream",NA,74,80.46303678,-1,80.5,81.5,2,"Atlanta Dream",0,0,"Dog",1,NA
19581009109851,"total","2023-08-12","Los Angeles Sparks",NA,85,84.59138435,"Atlanta Dream",NA,74,80.46303678,162.5,80.5,81.5,0.5,"Under",0,0,"Under",163.5,NA
19581043804701,"spread","2023-08-12","Dallas Wings",NA,91,84.85801089,"Connecticut Sun",NA,81,83.0236547,-2.5,80.5,78,0,NA,0,0,NA,-2.5,NA
19581043804701,"total","2023-08-12","Dallas Wings",NA,91,84.85801089,"Connecticut Sun",NA,81,83.0236547,168.5,80.5,78,10,"Under",1,-1.1,"Under",168.5,0
19582009109241,"spread","2023-08-13","Las Vegas Aces",NA,86,95.25723463,"Atlanta Dream",NA,65,74.55187267,-17,93.7,80.7,4,"Atlanta Dream",1,-1.1,"Dog",-17,0
19582009109241,"total","2023-08-13","Las Vegas Aces",NA,86,95.25723463,"Atlanta Dream",NA,65,74.55187267,175.5,93.7,80.7,1.1,"Under",0,0,"Under",175.5,NA
19582081612511,"spread","2023-08-13","Indiana Fever",NA,89,87.38500196,"New York Liberty",NA,100,93.72016191,10.5,80.9,85.7,5.7,"Indiana Fever",1,-1.1,"Dog",10.5,0
19582081612511,"total","2023-08-13","Indiana Fever",NA,89,87.38500196,"New York Liberty",NA,100,93.72016191,165.5,80.9,85.7,1.1,"Over",0,0,"Over",165.5,NA
19582143916321,"spread","2023-08-13","Seattle Storm",NA,81,69.43224084,"Phoenix Mercury",NA,71,83.52568001,-1.5,78.9,84.2,6.8,"Phoenix Mercury",1,-1.1,"Dog",-2.5,1
19582143916321,"total","2023-08-13","Seattle Storm",NA,81,69.43224084,"Phoenix Mercury",NA,71,83.52568001,162.5,78.9,84.2,0.6,"Over",0,0,"Over",160.5,NA
19584092412511,"spread","2023-08-15","Las Vegas Aces",NA,63,87.6510505080223,"New York Liberty",NA,82,87.0940400958061,-7,92,89.3,4.3,"New York Liberty",1,1,"Dog",-7.5,0.5
19584092412511,"total","2023-08-15","Las Vegas Aces",NA,63,87.6510505080223,"New York Liberty",NA,82,87.0940400958061,176.5,92,89.3,4.80000000000001,"Over",1,-1.1,"Over",177.5,1
19586092412511,"spread","2023-08-17","Las Vegas Aces",NA,88,90.7283768057823,"New York Liberty",NA,75,78.6861372590065,-6,91.6,88.4,2.80000000000001,"New York Liberty",0,0,"Dog",-6.5,NA
19586092412511,"total","2023-08-17","Las Vegas Aces",NA,88,90.7283768057823,"New York Liberty",NA,75,78.6861372590065,176.5,91.6,88.4,3.5,"Over",1,-1.1,"Over",174.5,-2
19587043804701,"spread","2023-08-18","Connecticut Sun",NA,75,93.0958089232445,"Dallas Wings",NA,95,94.2522111535072,-3.5,78.8,79.7,4.40000000000001,"Dallas Wings",1,1,"Dog",-4,0.5
19587081620251,"spread","2023-08-18","Indiana Fever",NA,79,78.8306720852852,"Washington Mystics",NA,83,80.8394265174866,3.5,80.2,76.9,6.8,"Indiana Fever",1,-1.1,"Dog",5,-1.5
19587125114391,"spread","2023-08-18","Phoenix Mercury",NA,63,81.8847882151604,"New York Liberty",NA,85,88.2148889303207,12.5,81.5,88.8,5.2,"Phoenix Mercury",1,-1.1,"Dog",12.5,0
19588092409851,"spread","2023-08-19","Las Vegas Aces",NA,72,89.6772646903992,"Los Angeles Sparks",NA,78,66.5281147956848,-16.5,91.3,77.3,2.5,"Los Angeles Sparks",0,0,"Dog",-16.5,NA
19588092409851,"total","2023-08-19","Las Vegas Aces",NA,72,89.6772646903992,"Los Angeles Sparks",NA,78,66.5281147956848,169.5,91.3,77.3,0.900000000000006,"Under",0,0,"Under",169.5,NA
19589034604381,"spread","2023-08-20","Chicago Sky",NA,73,83.3141769170761,"Connecticut Sun",NA,79,75.0593861937523,6.5,78.3,82.9,1.89999999999999,"Chicago Sky",0,0,"Dog",5.5,NA
19589034604381,"total","2023-08-20","Chicago Sky",NA,73,83.3141769170761,"Connecticut Sun",NA,79,75.0593861937523,160.5,78.3,82.9,0.699999999999989,"Over",0,0,"Over",160.5,NA
19589047020251,"spread","2023-08-20","Washington Mystics",NA,84,81.3174709677696,"Dallas Wings",NA,97,86.7274873256683,5.5,77.8,83.6,0.299999999999997,"Dallas Wings",0,0,"Fav",5.5,NA
19589047020251,"total","2023-08-20","Washington Mystics",NA,84,81.3174709677696,"Dallas Wings",NA,97,86.7274873256683,166,77.8,83.6,4.60000000000002,"Under",1,-1.1,"Under",165.5,0.5
19589081614391,"spread","2023-08-20","Phoenix Mercury",NA,73,87.1889628171921,"Indiana Fever",NA,83,86.8131021857262,2.5,77.4,80.9,1,"Indiana Fever",0,0,"Fav",3.5,NA
19589081614391,"total","2023-08-20","Phoenix Mercury",NA,73,87.1889628171921,"Indiana Fever",NA,83,86.8131021857262,160.5,77.4,80.9,2.19999999999999,"Under",0,0,"Under",161,NA
19589113316321,"spread","2023-08-20","Minnesota Lynx",NA,74,88.3502268195152,"Seattle Storm",NA,88,92.2238425016403,-4.5,80.1,79.9,4.30000000000001,"Seattle Storm",1,1,"Dog",-5.5,1
19589113316321,"total","2023-08-20","Minnesota Lynx",NA,74,88.3502268195152,"Seattle Storm",NA,88,92.2238425016403,160.5,80.1,79.9,0.5,"Under",0,0,"Under",159.5,NA
19591009109241,"spread","2023-08-22","Atlanta Dream",NA,100,94.1871569156647,"Las Vegas Aces",NA,112,101.966073513031,15.5,74.4,94,4.09999999999999,"Las Vegas Aces",1,-1.1,"Fav",16.5,-1
19591009109241,"total","2023-08-22","Atlanta Dream",NA,100,94.1871569156647,"Las Vegas Aces",NA,112,101.966073513031,168,74.4,94,0.400000000000006,"Over",0,0,"Over",166.5,NA
19591034616321,"spread","2023-08-22","Chicago Sky",NA,102,95.1027899980545,"Seattle Storm",NA,79,90.905970454216,-2.5,79.3,81.6,4.8,"Seattle Storm",1,-1.1,"Dog",-4.5,2
19591034616321,"total","2023-08-22","Chicago Sky",NA,102,95.1027899980545,"Seattle Storm",NA,79,90.905970454216,159.5,79.3,81.6,1.39999999999998,"Over",0,0,"Over",157.5,NA
19591043820251,"spread","2023-08-22","Washington Mystics",NA,64,70.7069459557533,"Connecticut Sun",NA,68,72.6676600575447,5.5,78.2,78.7,5,"Washington Mystics",1,1,"Dog",4.5,1
19591043820251,"total","2023-08-22","Washington Mystics",NA,64,70.7069459557533,"Connecticut Sun",NA,68,72.6676600575447,159.5,78.2,78.7,2.59999999999999,"Under",0,0,"Under",159.5,NA
19591047011331,"spread","2023-08-22","Minnesota Lynx",NA,91,87.3206316232681,"Dallas Wings",NA,86,91.8579607009888,6.5,77.7,84.5,0.299999999999997,"Dallas Wings",0,0,"Fav",6.5,NA
19591047011331,"total","2023-08-22","Minnesota Lynx",NA,91,87.3206316232681,"Dallas Wings",NA,86,91.8579607009888,169.5,77.7,84.5,7.30000000000001,"Under",1,-1.1,"Under",169.5,0
19592098514391,"spread","2023-08-23","Los Angeles Sparks",NA,91,77.286670088768,"Phoenix Mercury",NA,62,73.7370023131371,-9.5,82.7,78.2,5,"Phoenix Mercury",1,-1.1,"Dog",-10.5,1
19592098514391,"total","2023-08-23","Los Angeles Sparks",NA,91,77.286670088768,"Phoenix Mercury",NA,62,73.7370023131371,155.5,82.7,78.2,5.40000000000001,"Over",1,-1.1,"Over",154.5,-1
19593034609241,"spread","2023-08-24","Chicago Sky",NA,87,85.4683361053467,"Las Vegas Aces",NA,94,93.5156410932541,14.5,84.2,97.2,1.5,"Chicago Sky",0,0,"Dog",14.5,NA
19593034609241,"total","2023-08-24","Chicago Sky",NA,87,85.4683361053467,"Las Vegas Aces",NA,94,93.5156410932541,169,84.2,97.2,12.4,"Over",1,1,"Over",171,2
19593043812511,"spread","2023-08-24","Connecticut Sun",NA,90,85.4956749081612,"New York Liberty",NA,95,103.598638296127,5.5,83.3,88,0.799999999999997,"Connecticut Sun",0,0,"Dog",6,NA
19593043812511,"total","2023-08-24","Connecticut Sun",NA,90,85.4956749081612,"New York Liberty",NA,95,103.598638296127,163,83.3,88,8.30000000000001,"Over",1,1,"Over",165.5,2.5
19593047011331,"spread","2023-08-24","Dallas Wings",NA,81,88.2263655364513,"Minnesota Lynx",NA,90,89.673230111599,-7.5,88.8,83.3,2,"Minnesota Lynx",0,0,"Dog",-6,NA
19593047011331,"total","2023-08-24","Dallas Wings",NA,81,88.2263655364513,"Minnesota Lynx",NA,90,89.673230111599,168.5,88.8,83.3,3.59999999999999,"Over",1,1,"Over",166,-2.5
